league,team,h_for,h_against,a_for,a_against,n_home,n_away
d2,dusseldorf,5.222222222222222,2.5555555555555554,4.090909090909091,4.363636363636363,9,11
d2,elversberg,6.555555555555555,2.5555555555555554,4.916666666666667,4.166666666666667,9,12
d2,fc koln,6.5,5.75,5.666666666666667,3.3333333333333335,4,3
d2,greuther furth,3.8,5.4,3.727272727272727,6.181818181818182,10,11
d2,hamburger sv,4.0,3.6666666666666665,5.25,4.75,3,4
d2,hannover,7.2,3.3,4.222222222222222,6.111111111111111,10,9
d2,hertha berlin,5.7272727272727275,4.636363636363637,4.5,4.6,11,10
d2,holstein kiel,6.285714285714286,5.142857142857143,4.142857142857143,3.857142857142857,7,7
d2,kaiserslautern,4.7272727272727275,4.636363636363637,4.2,6.4,11,10
d2,karlsruher sc,3.7777777777777777,4.444444444444445,4.363636363636363,5.181818181818182,9,11
d2,magdeburg,5.181818181818182,3.4545454545454546,4.1,5.7,11,10
d2,nurnberg,4.090909090909091,4.7272727272727275,3.8,5.2,11,10
d2,paderborn,5.0,5.4,4.8,3.3,10,10
d2,preussen munster,4.666666666666667,6.0,4.181818181818182,5.545454545454546,9,11
d2,regensburg,5.333333333333333,4.0,4.5,4.75,3,4
d2,saarbrucken,2.0,6.0,6.0,6.0,1,1
d2,schalke,5.090909090909091,2.909090909090909,4.888888888888889,5.0,11,9
d2,sg dynamo dresden,4.571428571428571,5.0,4.0,7.0,7,7
d2,ulm,5.5,3.25,4.0,4.666666666666667,4,3
dk1,aalborg,4.75,6.5,5.2,3.2,4,5
dk1,aarhus,6.0,3.230769230769231,4.5,4.428571428571429,13,14
dk1,brondby,4.857142857142857,4.5,4.384615384615385,5.0,14,13
dk1,fc copenhagen,5.642857142857143,2.9285714285714284,4.0,4.142857142857143,14,14
dk1,fredericia,5.375,6.375,3.2,8.1,8,10
dk1,lyngby,4.25,5.5,5.0,3.0,4,5
dk1,midtjylland,5.923076923076923,3.076923076923077,4.857142857142857,5.214285714285714,13,14
dk1,nordsjaelland,4.933333333333334,2.8,3.6153846153846154,5.3076923076923075,15,13
dk1,odense,5.666666666666667,4.0,4.888888888888889,5.888888888888889,9,9
dk1,randers fc,5.0,4.666666666666667,4.833333333333333,5.5,15,12
dk1,silkeborg,4.666666666666667,4.866666666666666,3.857142857142857,5.142857142857143,15,14
dk1,sonderjyske,4.461538461538462,6.0,4.466666666666667,5.333333333333333,13,15
dk1,vejle,4.285714285714286,5.857142857142857,4.153846153846154,6.076923076923077,14,13
dk1,viborg,6.0,4.357142857142857,5.428571428571429,4.571428571428571,14,14
e0,arsenal,6.055555555555555,3.5,6.05,3.45,18,20
e0,aston villa,5.6,4.4,4.833333333333333,5.166666666666667,20,18
e0,bournemouth,5.55,4.15,5.333333333333333,5.888888888888889,20,18
e0,brentford,4.388888888888889,4.888888888888889,5.2,5.7,18,20
e0,brighton,4.75,4.3,5.0,4.5,20,18
e0,burnley,3.2857142857142856,5.5,3.5625,6.25,14,16
e0,chelsea,7.388888888888889,3.8333333333333335,5.25,4.4,18,20
e0,crystal palace,4.166666666666667,4.333333333333333,4.1,5.5,18,20
e0,everton,4.75,4.4,3.5555555555555554,6.111111111111111,20,18
e0,fulham,4.95,5.55,4.722222222222222,5.111111111111111,20,18
e0,ipswich,3.25,6.5,2.75,7.75,4,4
e0,leeds,5.5,4.0,3.4285714285714284,4.428571428571429,16,14
e0,leicester,5.5,6.0,3.25,4.25,4,4
e0,liverpool,6.555555555555555,4.0,5.85,3.9,18,20
e0,man city,6.2105263157894735,3.1578947368421053,4.833333333333333,3.9444444444444446,19,18
e0,man united,5.111111111111111,4.0,4.2105263157894735,5.631578947368421,18,19
e0,manchester utd,5.2105263157894735,4.594736842105263,3.0,2.0,0,1
e0,newcastle,7.0476190476190474,4.666666666666667,6.0,5.444444444444445,21,18
e0,nott'm forest,5.888888888888889,4.388888888888889,4.473684210526316,5.368421052631579,18,19
e0,nottingham,5.2105263157894735,4.594736842105263,1.0,5.0,0,1
e0,southampton,2.0,12.5,4.5,4.25,4,4
e0,sunderland,3.642857142857143,4.642857142857143,3.3125,5.5,14,16
e0,tottenham,4.95,5.3,4.277777777777778,4.611111111111111,20,18
e0,west ham,5.388888888888889,5.444444444444445,4.0,6.9,18,20
e0,wolves,3.3,5.05,4.111111111111111,6.555555555555555,20,18
e1,birmingham,6.421052631578948,3.789473684210526,4.75,4.45,19,20
e1,blackburn,5.956521739130435,4.826086956521739,4.363636363636363,5.090909090909091,23,22
e1,bristol city,5.0,3.8333333333333335,4.954545454545454,4.954545454545454,24,22
e1,burnley,5.0,4.333333333333333,4.0,3.75,3,4
e1,cardiff,5.333333333333333,2.6666666666666665,5.0,6.0,3,4
e1,charlton,4.95,3.8,3.0526315789473686,6.421052631578948,20,19
e1,coventry,5.565217391304348,3.782608695652174,4.434782608695652,5.869565217391305,23,23
